fuente_limpia,Titulo
www.revistaeyn,Tres habilidades que marcarán el futuro profesional de los mayores de 45 años - www.revistaeyn.com
iebs,Previsiones y tendencias para emprendedores y startups en 2025 - IEBS
iebs,Carreras Universitarias con más futuro y sin desempleo para 2040 ¿Qué estudiar hoy? - IEBS
the food tech,5 oportunidades clave para transformar la industria de la panificación en 2025 - The Food Tech
ecoticias,Los avances tecnológicos en España que rompen el mercado energético: Vienen del mismo futuro - ECOticias.com
wired,China tiene un plan para liberarse del petróleo y dominar la energía del futuro - WIRED
infonegocios,"Qué hace Geocluster, la pyme cordobesa que mide el futuro de la energía solar con ensayos clave (ya opera en Argentina y Uruguay) - InfoNegocios"
law&trends,"Expertos lamentan en la Universidad Pontificia Comillas la fórmula elegida para la reforma del mercado eléctrico, un “abuso de la figura del Real Decreto-Ley” que desprecia “el respeto a la propiedad y a los contratos” - Law&Trends"
ciper chile,Tiempos convulsos para nuestra Energía - - CIPER Chile
elperiodico,Los problemas de tener cada vez más electricidad en España mientras se hunde su consumo - elperiodico.com
radio intereconomía,El futuro del automóvil: Los coches eléctricos vs los de combustión - Radio Intereconomía
focuseconomics,▷ Las 10 materias primas más comercializadas del mundo - FocusEconomics
americamalls & retail,Chevrolet anuncia la llegada de un nuevo vehículo eléctrico a México - AmericaMalls & Retail
focuseconomics,El Cronómetro del Crudo: Cómo las perturbaciones geopolíticas afectan al mercado petrolero - FocusEconomics
revista mercado,Top países de Latinoamérica con más carros eléctricos - Revista Mercado
mit technology review en español,"Luis Carlos Parra (Colombia), 33 - MIT Technology Review en español"
